id,firstCapture
1017209,20160528
1017240,20160325
1017241,20160528
1017242,20160528
1017244,20160527
1017282,20160312
1017283,20160312
1017284,20160312
1017306,20160312
1017978,20160325
1024642,20160317
1024651,20160315
1024652,20160315
1024654,20160402
1024660,20160402
1024665,20160407
1024683,20160407
1024705,20160407
1024708,20160315
1024710,20160315
1024719,20160317
1024720,20160315
1024724,20160315
1024730,20160315
1024746,20160317
1024747,20160315
1024754,20160407
1024756,20160317
1024763,20160402
1024782,20160315
1024787,20160528
1024788,20160315
1024789,20160317
1024810,20160315
1024811,20160402
1024817,20160317
1024820,20160527
1025235,20160527
1025246,20160315
1025257,20160315
1025259,20160402
1025273,20160407
1025274,20160315
1025279,20160407
1025304,20160402
1025310,20160402
1025313,20160315
1025314,20160528
1025315,20160528
1025316,20160527
1025319,20160407
1025335,20160315
1025336,20160315
1025357,20160317
1025362,20160528
1025363,20160528
1025365,20160315
1025366,20160527
1031846,20160317
1033022,20160711
1033177,20160324
1033178,20160324
1033180,20160711
1033181,20160711
1033182,20160711
1033183,20160711
1033184,20160711
1033185,20160711
1033186,20160711
1033187,20160711
1033188,20160711
1033232,20160802
1033233,20160802
1033234,20160802
1033235,20160324
1033289,20160802
1033290,20160802
1033291,20160802
1033292,20160802
1033293,20160324
1033814,20160324
1033871,20160802
1033872,20160802
1033873,20160802
1033874,20160802
1033875,20160802
1033876,20160802
1033877,20160802
1033878,20160803
1033879,20160802
1033880,20160802
1033881,20160802
1033882,20160802
1033883,20160803
1033884,20160802
1033885,20160803
1033886,20160802
1033887,20160802
1033888,20160802
1033889,20160802
1033890,20160802
1033891,20160802
1033892,20160802
1033893,20160802
1033894,20160803
1033895,20160802
1033896,20160803
1033897,20160802
1033898,20160802
1033899,20160802
1033900,20160802
1033902,20160802
1033903,20160802
1033905,20160802
1033908,20160802
1033909,20160803
1033922,20160820
1033925,20160819
1033926,20160820
1033927,20160820
1033928,20160802
1033929,20160802
1033930,20160802
1033931,20160802
1033932,20160803
1033933,20160802
1033934,20160802
1033935,20160802
1033936,20160802
1033937,20160802
1033938,20160802
1033939,20160802
1033940,20160802
1035909,20160324
1035910,20160324
1035911,20160324
1035912,20160324
1035913,20160324
1043780,20160804
1043781,20160804
1043782,20160802
1043783,20160804
1044182,20160819
1044183,20160819
1044184,20160819
1044185,20160802
1044186,20160820
1044187,20160819
1044188,20160802
1044189,20160803
1044190,20160802
1044191,20160819
1044196,20160802
1044197,20160819
1044198,20160820
1044218,20160802
1044227,20160820
1044229,20160819
1044234,20160819
1044238,20160802
1044239,20160802
1044240,20160802
1044241,20160802
1044242,20160802
1044243,20160803
1044244,20160802
1044245,20160802
1044246,20160802
1044247,20160803
1044248,20160802
1044249,20160802
1044250,20160802
1044251,20160819
1044252,20160802
1044253,20160819
1044254,20160820
1044255,20160819
1044256,20160819
1044257,20160820
1044258,20160820
1044259,20160802
1044260,20160802
1044269,20160819
1044271,20160819
1044281,20160802
1044282,20160819
1044283,20160820
1044284,20160820
1044285,20160802
1044286,20160820
1044287,20160820
1044288,20160820
1044289,20160820
1044290,20160804
1044291,20160804
1044292,20160803
1044293,20160802
1044294,20160802
1044295,20160802
1044296,20160802
1044297,20160802
1044298,20160802
1044299,20160802
1044300,20160802
1044301,20160802
1044302,20160802
1044303,20160802
1044304,20160802
1044305,20160802
1044306,20160802
1044307,20160803
1044308,20160802
1044309,20160802
1044310,20160802
1044324,20160802
1044325,20160803
1044326,20160802
1044327,20160802
1044328,20160802
1044329,20160802
1044330,20160802
1044331,20160802
1044332,20160802
1044333,20160802
1044334,20160802
1044335,20160802
1044336,20160802
1044339,20160802
1044340,20160802
1044341,20160802
1044342,20160802
1044343,20160802
1044344,20160802
1044345,20160802
1044346,20160802
1044347,20160802
1044348,20160803
1044349,20160802
1044350,20160802
1044351,20160802
