id,first_capture
420115,20141204
420116,20141204
420117,20141204
420118,20141204
420119,20141204
424904,20141202
426909,20141207
426968,20150103
426989,20150908
426990,20150908
427032,20150505
427076,20201218
427128,20150908
427269,20150908
427270,20150908
427271,20150907
427272,20150908
427273,20150908
427274,20150907
427275,20150908
427276,20150908
427277,20150907
427278,20150908
427279,20150912
427280,20150908
427281,20150912
427282,20150907
429393,20141210
429394,20141210
429395,20141210
429396,20141210
429397,20141210
429398,20141210
429399,20141210
429400,20141210
429401,20141210
429402,20141210
429403,20141210
429404,20141210
429405,20141210
429406,20141210
429407,20141210
429408,20141210
429409,20141210
429410,20141210
429411,20141210
429412,20141210
429413,20141210
429414,20141210
429415,20141210
429416,20141210
429417,20141210
430016,20141213
430595,20141213
433288,20141203
435038,20201112
437722,20141213
437723,20150908
438406,20141226
438407,20141226
438412,20141226
440157,20150109
441226,20250821
441634,20141230
441637,20141230
441643,20141230
441664,20150906
442173,20150717
442175,20150717
442188,20150717
442189,20150717
442192,20150717
442195,20150717
442196,20150717
442197,20150715
442210,20150715
442212,20150715
442216,20150715
442326,20150906
442327,20150908
442328,20150908
442329,20150908
442330,20150906
442331,20150908
446065,20150718
446066,20150718
446067,20150718
446080,20221003
446081,20231003
446091,20211017
446092,20211017
446099,20160327
446100,20160326
446101,20160327
446108,20141209
446109,20141209
446110,20141209
446133,20190724
449667,20150505
449668,20150505
449669,20150505
450150,20150908
450151,20150907
450152,20150908
450153,20150908
450154,20150907
450155,20150908
450156,20150907
450157,20150908
450158,20150907
450159,20150908
450160,20150908
450161,20150908
450162,20150907
450163,20150908
450164,20150908
450165,20150908
450166,20150908
450167,20150908
450168,20150908
450169,20150908
450170,20150907
450171,20150908
450172,20150906
454702,20141230
454703,20141230
457047,20150109
457077,20150109
457231,20150907
457232,20150907
457234,20150907
457236,20150908
457237,20150908
457238,20150908
457239,20150907
457240,20150907
457241,20150908
457242,20150908
457243,20150908
457244,20150908
457245,20150908
457246,20150907
457247,20150907
457248,20150907
457249,20150907
457250,20150908
457251,20150908
457252,20150908
457254,20150908
457255,20150908
457256,20150908
457258,20150908
457259,20150908
457260,20150908
457261,20150908
457262,20150907
457263,20150907
457264,20150908
457265,20150908
457266,20150908
457267,20150908
457268,20150908
457269,20150907
457270,20150908
457271,20150907
457272,20150908
457273,20150908
457274,20150908
457275,20150907
457276,20150908
457277,20150908
457281,20150405
457282,20150405
457283,20150403
457284,20150405
457285,20150405
457286,20150405
457287,20150403
457288,20150405
457289,20150403
457290,20150405
457291,20150403
457292,20150403
457293,20150405
457294,20150405
457295,20150405
457296,20150405
457297,20150405
457298,20150405
457299,20150403
457300,20150405
457301,20150405
457302,20150403
457303,20150403
457304,20150403
457305,20150405
457306,20150905
457307,20150905
457308,20150905
457309,20150905
457310,20150905
457311,20150905
457312,20150905
457313,20150905
457314,20150905
457315,20150905
457317,20150905
457318,20150905
457319,20150905
457320,20150905
457321,20150905
457322,20150905
457323,20150905
457324,20150905
457325,20150905
457326,20150905
457327,20150905
457328,20150905
457329,20150905
457330,20150905
457331,20150905
457332,20150905
457333,20150905
